0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
441,426,420,399,336,336,321,297,345,345,312,297,249,264,213,186,126,120,144,114,69,33,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,381,294,240,201,195,180,108,75,36,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,336,339,336,336,333,252,333,342,372,324,369,294,270,270,264,201,189,180,153,144,159,117,93,117,90,87,87,90,66,66,66,42,21,3,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,99,102,126,285,39,36,33,39,60,39,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,213,216,189,156,150,150,129,111,123,135,123,129,105,69,57,57,42,30,9,15,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,219,195,198,195,156,132,66,24,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,216,222,189,147,162,162,135,135,84,45,45,45,39,21,6,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,240,237,240,219,156,147,147,156,87,111,93,96,114,87,69,69,54,72,60,33,66,48,45,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,171,156,225,135,150,63,111,84,27,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,219,192,150,114,111,114,114,171,111,171,114,129,111,57,39,45,60,60,36,45,15,45,51,33,45,45,45,9,12,48,15,15,15,15,15,15,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,156,99,93,57,51,45,42,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,174,171,123,114,129,96,93,66,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,96,102,129,99,99,129,129,147,174,189,177,138,111,72,96,81,72,69,57,60,30,33,30,15,3,0,3,0,3,0,3,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,144,144,141,141,141,141,141,141,144,129,141,144,141,141,129,144,144,144,141,144,144,144,144,144,144,141,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,147,144,144,141,144,144,144,144,144,144,144,144,144
150,150,150,150,156,156,153,150,153,156,156,153,153,156,156,156,150,153,150,150,150,150,153,153,150,153,153,153,150,153,150,150,150,150,150,150,150,147,150,144,144,144,141,156,144,144,144,144,147,147,156,150,150,150,150,150,153,150
141,141,141,114,45,30,21,12,9,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,129,168,111,93,48,33,18,18,18,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,168,153,153,78,63,78,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,93,99,96,96,93,60,42,27,12,6,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,189,168,174,84,96,66,36,9,24,24,24,24,24,24,18,24,24,24,3,3,3,15,3,3,9,6,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,132,102,69,36,21,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,141,141,144,159,132,132,144,96,72,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,126,141,114,87,96,108,78,108,111,90,96,120,111,93,72,54,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,144,147,108,75,57,51,42,33,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,141,168,111,111,45,36,30,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,150,132,132,132,132,135,132,162,141,132,132,147,132,144,132,132,159,147,147,150,162,162,141,132,165,165,135,135,159,159,135,135,162,135,162,162,159,150,150,159,159,147,159,162,144,144,150,150,147,150,150,150,147,150,135,135,150
141,87,63,24,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,156,99,93,72,45,45,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,96,87,93,93,93,99,93,96,93,99,96,96,96,96,96,99,102,108,102,96,96,87,90,108,93,87,87,84,75,72,84,84,99,93,102,102,90,87,87,84,84,72,78,84,81,75,84,87,84,81,84,87,81,84,84,84,84
84,72,63,33,12,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,87,72,57,39,12,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,108,108,90,105,105,87,90,90,105,105,105,105,105,105,105,93,105,93,108,105,105,93,105,105,105,105,105,108,105,108,105,105,105,108,105,108,108,108,108,108,108,108,108,108,105,108,105,105,105,105,105,105,105,105,93,93,78
81,60,69,66,72,42,36,33,33,21,21,21,21,15,15,3,3,9,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,87,87,87,93,63,51,36,33,18,6,3,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,90,72,60,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,72,84,84,84,84,84,84,81,84,84,84,84,81,84,84,81,81,84,81,93,93,93,84,84,84,81,81,72,84,93,84,84,84,84,81,81,87,93,84,84,87,90,90,93,93,93,93,87,87,87,84,93,84,84,87,84,84
