Video,Vivas,Mortas,Tempo de Análise
IMG_6478.mov,23,5,23.862383604049683
IMG_6479.mov,56,10,30.92688274383545
IMG_6480.mov,32,10,28.280717372894287
IMG_6481.mov,32,4,30.832435607910156
IMG_6482.mov,29,6,33.51746439933777
IMG_6484.mov,36,2,25.591209650039673
IMG_6485.mov,33,1,21.763102293014526
IMG_6486.mov,42,4,22.32130455970764
IMG_6487.mov,43,5,22.455467462539673
IMG_6488.mov,42,3,22.388123989105225
IMG_6489.mov,1,50,27.818647861480713
IMG_6490.mov,0,34,20.875909566879272
IMG_6491.mov,0,24,29.88313889503479
IMG_6492.mov,0,49,32.952335596084595
IMG_6493.mov,0,48,26.36171793937683
IMG_6495.mov,0,51,22.32260274887085
IMG_6496.mov,0,68,23.38633704185486
IMG_6497.mov,0,31,24.286733150482178
IMG_6498.mov,0,41,22.067803621292114
IMG_6499.mov,0,68,22.801146745681763
IMG_6500.mov,0,37,21.1732976436615
IMG_6501.mov,0,71,22.882179260253906
IMG_6502.mov,0,52,21.898083448410034
IMG_6503.mov,1,51,23.424301862716675
IMG_6504.mov,0,62,21.675392627716064
